config_id,sample_id,repeat,weight_quant,cache_type_k,cache_type_v,flash_attention,backend,status,generated_text,reference_text,exact_match_normalized,wer_percent,projected_device_memory_mib,kv_buffer_mib,audio_encode_ms,audio_decode_ms,prompt_tokens_per_second,generation_tokens_per_second,total_model_ms,wall_ms,fallback_ops
f16_fa_off,asr,1,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,657.0,5.0,206.83,24.35,3581.4,4670.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,asr,2,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,521.0,2.0,231.48,24.32,3451.87,4640.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,asr,3,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,376.0,2.0,281.23,22.79,3418.87,4660.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,asr,4,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,357.0,2.0,320.63,21.77,3425.83,4650.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,asr,5,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.,True,0.0,,48.0,449.0,3.0,246.62,25.93,3239.0,4140.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,question,1,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,131.0,1.0,274.02,61.36,564.74,1610.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,question,2,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,172.0,2.0,239.12,29.06,896.28,2160.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,question,3,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,128.0,1.0,360.74,41.36,618.77,1620.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,question,4,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,140.0,2.0,324.97,28.56,816.94,1620.0,CONV_2D_DW;ROLL;UNARY
f16_fa_off,question,5,Q4_0,f16,f16,off,Apple M2 Metal with documented encoder fallbacks,passed,Can you help me come up with a slogan for my woodworking site business?,Can you help me come up with a slogan for my woodworking site business?,True,0.0,,48.0,330.0,2.0,99.35,17.0,1763.79,2620.0,CONV_2D_DW;ROLL;UNARY
